DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2965.0,-41.45,8.67,8.91,8.89,23.47,5.89,8.1,967.01,0.11,17.71,2.28,21.78,2.47,220.41,4.54,25.08,6.73
2965.5,-42.16,8.66,8.91,8.89,20.71,6.53,9.96,965.18,0.07,21.35,2.39,16.91,2.89,186.7,5.36,18.89,7.53
2966.0,-42.67,8.66,8.9,8.91,18.33,6.28,9.87,963.29,0.03,24.08,2.44,14.76,3.74,167.53,5.97,15.66,7.99
2966.5,-42.62,8.66,8.9,8.89,17.3,6.1,9.94,963.26,0.03,24.99,2.48,13.93,4.48,162.08,6.17,13.74,8.12
2967.0,-42.04,8.66,8.89,8.88,18.34,6.11,10.03,965.81,0.04,23.68,2.49,13.47,4.72,165.59,6.04,12.63,7.91
2967.5,-41.19,8.66,8.9,8.92,20.79,5.98,10.03,971.07,0.04,20.58,2.51,13.52,4.55,173.34,5.77,11.95,7.43
2968.0,-40.27,8.66,8.9,8.9,23.84,5.86,9.7,977.31,0.04,16.93,2.51,13.3,4.15,182.5,5.48,11.77,6.87
2968.5,-39.3,8.65,8.9,8.91,26.83,5.58,9.07,981.55,0.03,14.32,2.49,13.81,3.81,191.76,5.21,12.71,6.4
2969.0,-38.37,8.64,8.9,8.88,28.07,5.7,8.78,982.31,0.03,13.61,2.47,15.06,3.5,200.67,4.98,14.31,6.1
2969.5,-37.64,8.67,8.89,8.89,26.09,6.11,9.14,981.73,0.03,14.35,2.45,15.94,3.23,207.17,4.83,15.43,5.97
2970.0,-37.12,8.68,8.88,8.87,22.74,6.32,9.8,982.08,0.03,15.24,2.45,15.16,3.07,209.48,4.77,15.47,5.95
2970.5,-36.65,8.68,8.89,8.89,21.32,6.42,10.22,983.43,0.04,15.45,2.47,14.11,2.96,205.75,4.86,14.12,5.98
2971.0,-36.14,8.68,8.9,8.9,22.45,6.34,10.38,982.84,0.05,15.69,2.5,14.3,3.01,198.03,5.05,12.27,6.01
